date,total_export_usd,total_import_usd,trade_balance,trade_ratio,total_trade
2019-08-01,1702580.06753,1769054.93124,-66474.86371000018,0.9624235163441729,3471634.99877
2019-09-01,1203418.41799,1507368.5142100002,-303950.0962200002,0.7983571413661257,2710786.9322
2019-10-01,1134011.2146299998,1753888.32058,-619877.1059500002,0.6465697965620691,2887899.53521
2019-11-01,1278533.49695,1715482.6337000001,-436949.13675000006,0.74529084225844,2994016.13065
2019-12-01,1207083.061,1791676.4475699998,-584593.3865699999,0.6737171003375819,2998759.5085699996
2020-01-01,1477486.60409,1919638.28685,-442151.68276,0.7696692727016079,3397124.8909400003
2020-02-01,1369891.80463,1543016.89632,-173125.09169000015,0.8878009099557543,2912908.70095
2020-03-01,1124936.7268,1604465.4293,-479528.7024999999,0.7011286789088315,2729402.1561000003
2020-04-01,949169.96323,1449074.65191,-499904.68868,0.6550179881891631,2398244.61514
2020-05-01,1528612.5267,1333444.98105,195167.54565,1.1463634033826566,2862057.50775
2020-06-01,1909217.13227,1399806.3801799999,509410.7520900001,1.3639151523402082,3309023.51245
2020-07-01,2292598.10215,1414749.7312699999,877848.3708800003,1.6204972875958554,3707347.83342
2020-08-01,1890258.68187,1359483.31635,530775.36552,1.3904243319035712,3249741.99822
2020-09-01,1568864.26449,1580835.37158,-11971.107090000063,0.9924273537237244,3149699.63607
2020-10-01,1338847.74339,1534948.71737,-196100.97398,0.872242654258833,2873796.46076
2020-11-01,1341414.58016,1791292.0783799998,-449877.49821999995,0.7488530744651882,3132706.6585399997
2020-12-01,1550959.97142,2169272.39658,-618312.4251599999,0.7149678269382813,3720232.368
2021-01-01,1549416.96022,2353273.83547,-803856.8752499998,0.6584091221625926,3902690.79569
2021-02-01,1419936.63991,2312332.33872,-892395.69881,0.6140711765922069,3732268.97863
2021-03-01,1580163.82519,2848607.95273,-1268444.12754,0.5547143908222364,4428771.77792
2021-04-01,1210404.57112,2010544.2969,-800139.72578,0.602028302975611,3220948.86802
2021-05-01,1240179.02907,2242616.88331,-1002437.85424,0.5530053030009978,3482795.9123799996
2021-06-01,1497286.02967,2408623.41366,-911337.38399,0.6216355870238818,3905909.44333
2021-07-01,2039834.75577,2335621.48326,-295786.7274900002,0.8733584488711121,4375456.23903
2021-08-01,1851674.25055,1892175.49575,-40501.245200000005,0.9785954076189183,3743849.7462999998
2021-09-01,1750488.39347,2217926.32321,-467437.92974000005,0.7892455106157548,3968414.71668
2021-10-01,1582307.08069,2438107.7333,-855800.65261,0.6489898125003416,4020414.8139899997
2021-11-01,1602161.90051,2350892.47982,-748730.57931,0.681512197713386,3953054.38033
2021-12-01,1985056.55877,3292167.42139,-1307110.8626199998,0.602963429463706,5277223.98016
2022-01-01,1821959.85971,3077784.1259500002,-1255824.2662400003,0.5919712966053547,4899743.98566
2022-02-01,1773800.47421,2079911.00737,-306110.5331600001,0.8528251775795591,3853711.48158
2022-03-01,2121062.3349,2288223.16246,-167160.82755999966,0.9269473230135954,4409285.49736
2022-04-01,1889483.43384,2597383.93265,-707900.4988099998,0.7274563494786236,4486867.36649
2022-05-01,1806023.135,3013739.03607,-1207715.90107,0.5992632784008747,4819762.17107
2022-06-01,1966792.9760699999,2807679.40598,-840886.42991,0.7005048268263753,4774472.38205
2022-07-01,2390607.31591,3186610.4503699997,-796003.1344599999,0.750203814724961,5577217.766279999
2022-08-01,1872171.53668,2712689.18486,-840517.64818,0.6901533530376136,4584860.72154
2022-09-01,1616440.69168,2000242.2999800001,-383801.6083000002,0.8081224418142553,3616682.99166
2022-10-01,1489223.55825,2053465.18725,-564241.629,0.7252246434449506,3542688.7455
2022-11-01,1710175.67016,1929342.0537800002,-219166.3836200002,0.8864035627116479,3639517.72394
2022-12-01,2025196.42188,2194531.78205,-169335.36017,0.9228375904349778,4219728.20393
2023-01-01,1567867.23077,1922330.63403,-354463.40326000005,0.8156074730407338,3490197.8648
2023-02-01,1717455.80147,1640171.25218,77284.54929,1.0471198048296961,3357627.05365
2023-03-01,2106689.51765,2297629.2601,-190939.74245000025,0.9168970617819822,4404318.77775
2023-04-01,1842110.29653,2066787.45121,-224677.15468000015,0.8912916011037018,3908897.74774
2023-05-01,1949350.30424,2182162.47709,-232812.1728500002,0.8933112564741447,4131512.78133
2023-06-01,2281006.82361,2120099.85243,160906.97117999988,1.0758959399933794,4401106.676039999
2023-07-01,2060606.41231,1946096.86366,114509.54865000001,1.0588406213422714,4006703.27597
2023-08-01,2166977.96692,2104749.56769,62228.3992300001,1.0295657023454323,4271727.5346099995
2023-09-01,1881007.78325,1955082.06759,-74074.28434000001,0.9621119309680385,3836089.8508400004
2023-10-01,1645992.3629700001,1858304.12303,-212311.76005999977,0.8857497234016672,3504296.486
2023-11-01,1902888.09671,1931241.9557,-28353.858990000095,0.9853183290129367,3834130.05241
2023-12-01,2150312.26817,2176856.25203,-26543.983860000037,0.9878062762135779,4327168.5202
2024-01-01,1967016.89578,2090110.68193,-123093.78615000006,0.9411065704729399,4057127.57771
2024-02-01,2018465.46194,2045014.30424,-26548.842299999902,0.9870177718341846,4063479.7661800003
2024-03-01,2276174.91787,2099753.03252,176421.8853500001,1.0840203026821058,4375927.95039
2024-04-01,1744278.2678500002,2429647.5115799997,-685369.2437299995,0.717914125212219,4173925.77943
2024-05-01,2067169.93554,2601931.62201,-534761.6864700001,0.7944751191974464,4669101.55755
2024-06-01,2223017.50507,2530248.2974199997,-307230.79234999977,0.8785768208348281,4753265.80249
2024-07-01,2468808.64555,2627372.01368,-158563.36812999984,0.9396494416076581,5096180.659229999
2024-08-01,2815197.55757,2478896.89014,336300.6674300004,1.1356654521483576,5294094.44771
2024-09-01,2253151.51143,2203640.84502,49510.66641000006,1.0224676659637568,4456792.35645
2024-10-01,1740977.87466,2383635.0615600003,-642657.1869000003,0.7303877605830293,4124612.9362200005
2024-11-01,2356302.73323,2454627.11945,-98324.38622000022,0.9599432494488077,4810929.85268
2024-12-01,2266038.18388,2600474.10334,-334435.91946,0.871394251136569,4866512.287219999
2025-01-01,2306494.05249,2750702.2236200003,-444208.17113000015,0.8385109928237126,5057196.276110001
2025-02-01,2153706.60488,2236625.70445,-82919.09957000008,0.9629266982825853,4390332.30933
2025-03-01,2415464.19153,2586169.64996,-170705.45843000012,0.9339929387723499,5001633.8414900005
2025-04-01,2262057.85228,2794625.39735,-532567.54507,0.8094315089331806,5056683.24963
2025-05-01,2667421.17915,3118440.43014,-451019.2509899996,0.855370252825464,5785861.60929
2025-06-01,2486918.62002,2792290.93423,-305372.31421,0.8906373578531819,5279209.55425
2025-07-01,2871405.60157,2880768.63774,-9363.03617000021,0.9967498132104959,5752174.23931
