year,month_num,month_abb,chapter,commodity,value_thousand_usd
2018,5,May,24,Tobacco and manufactured tobacco substitutes,3602.47432
2018,5,May,39,Plastics and articles thereof.,14379.84369
2018,5,May,40,Rubber and articles thereof.,15092.88468
2018,5,May,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut).",40023.01931
2018,5,May,43,Furskins and artificial fur; manufactures thereof.,44714.42089
2018,5,May,44,Wood and articles of wood; wood charcoal.,15543.39369
2018,5,May,61,"Articles of apparel and clothing accessories, knitted or crocheted.",552470.6418
2018,5,May,62,"Articles of apparel and clothing accessories, not knitted or crocheted.",56874.40409
2018,5,May,63,Other made up textile articles; sets; worn clothing and worn textile articles; rags.,9917.31827
2018,5,May,64,"Footwear, gaiters and the like; parts of such articles.",89785.50608
2018,5,May,66,"Umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops, and parts thereof.",2352.18766
2018,5,May,73,Articles of iron or steel.,3838.10546
2018,5,May,76,Aluminium and articles thereof,2083.73783
2018,5,May,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof.",7716.20889
2018,5,May,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles.",40076.14645
2018,5,May,87,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof.",27292.98592
2018,5,May,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like; prefabricated buildings.",6868.46765
2018,5,May,99,Others,27665.43982
2018,4,Apr,8,Edible fruits and nuts; peel of citrus fruit or melons.,3585.18357
2018,4,Apr,10,Cereals.,23630.96644
2018,4,Apr,15,Animal or vegetable fats and oils and their cleavage products; prepared edible fats;  animal or vegetable waxes.,4582.22415
2018,4,Apr,17,Sugars and sugar confectionery.,7836.44582
2018,4,Apr,39,Plastics and articles thereof.,12017.32874
2018,4,Apr,40,Rubber and articles thereof.,8634.91339
2018,4,Apr,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut).",31654.5835
2018,4,Apr,43,Furskins and artificial fur; manufactures thereof.,25954.07798
2018,4,Apr,44,Wood and articles of wood; wood charcoal.,10536.80707
