year,month_num,month_abb,chapter,commodity,value_thousand_usd
2025,6,Jun,60,Knitted or crocheted fabrics.,303251.9015
2025,6,Jun,72,Iron and steel.,88567.27765
2025,6,Jun,73,Articles of iron or steel.,111366.8973
2025,6,Jun,76,Aluminium and articles thereof,65862.68577
2025,6,Jun,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof.",208444.9471
2025,6,Jun,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles.",294224.2286
2025,6,Jun,87,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof.",187660.6042
2025,6,Jun,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like; prefabricated buildings.",33348.64578
2025,6,Jun,99,Others,571640.0168
2025,5,May,23,Residues and waste from the food industries; prepared animal fodder.,34647.56569
2025,5,May,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances;mineral waxes.",330938.3284
2025,5,May,31,Fertilisers.,49742.36763
2025,5,May,38,Miscellaneous chemical products.,37742.02531
2025,5,May,39,Plastics and articles thereof.,125576.2888
2025,5,May,40,Rubber and articles thereof.,58105.03241
2025,5,May,41,Raw hides and skins (other than furskins) and leather.,42420.80829
2025,5,May,44,Wood and articles of wood; wood charcoal.,40894.47019
2025,5,May,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard.",75261.77245
2025,5,May,52,Cotton,67843.27563
2025,5,May,55,Man- made staple fibres.,118999.5525
2025,5,May,60,Knitted or crocheted fabrics.,342283.833
2025,5,May,72,Iron and steel.,85958.16432
2025,5,May,73,Articles of iron or steel.,116331.5653
2025,5,May,76,Aluminium and articles thereof,82956.58802
2025,5,May,83,Miscellaneous articles of base metal.,37763.23283
2025,5,May,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof.",230067.0019
