Date,CPI_all_item,Midpoint,Purchase,Sale,Exchange_Rate
2011-09-22,147.21,4087.15,4082.3,4092.0,4082.866666666667
2011-10-22,147.28,4103.3387096774195,4099.580645161291,4107.096774193548,4101.580645161291
2011-11-22,146.32,4053.1666666666665,4049.1,4057.233333333333,4057.366666666667
2011-12-22,145.03,4038.935483870968,4035.6451612903224,4042.2258064516127,4034.6451612903224
2012-01-22,146.5,4068.0833333333335,4063.0666666666666,4073.1,4055.366666666667
2012-02-22,147.02,4035.6428571428573,4031.1785714285716,4040.1071428571427,4034.75
2012-03-22,147.92,4006.3064516129034,4003.2258064516127,4009.3870967741937,4005.9032258064517
2012-04-22,148.72,4016.8793103448274,4011.4827586206898,4022.2758620689656,4003.2758620689656
2012-05-22,147.12,4063.116666666667,4057.9666666666667,4068.266666666667,4031.3333333333335
2012-06-22,147.33,4100.8448275862065,4097.068965517241,4104.620689655172,4065.0
2012-07-22,147.35,4090.7166666666667,4086.9333333333334,4094.0,4072.3333333333335
2012-08-22,148.93,4064.733333333333,4060.1,4068.9666666666667,4053.0333333333333
2012-09-22,149.33,4059.2413793103447,4054.896551724138,4063.0344827586205,4043.6206896551726
2012-10-22,149.04,4034.516129032258,4030.3548387096776,4038.2903225806454,4028.2580645161293
2012-11-22,148.68,4000.9666666666667,3996.5666666666666,4004.866666666667,3999.1
2012-12-22,148.72,3994.6129032258063,3991.3548387096776,3997.3548387096776,3994.7096774193546
2013-01-22,149.19,3986.1612903225805,3982.3225806451615,3989.3225806451615,3995.0
2013-02-22,149.57,3986.5,3982.1785714285716,3990.3571428571427,3995.0
2013-03-22,149.37,3984.935483870968,3980.9032258064517,3988.6451612903224,3995.0
2013-04-22,150.24,4013.9333333333334,4007.5,4019.766666666667,4000.1666666666665
2013-05-22,151.27,4082.064516129032,4077.2580645161293,4086.4193548387098,4034.032258064516
2013-06-22,151.64,4087.8333333333335,4084.1,4091.1666666666665,4062.9
2013-07-22,153.19,4090.2580645161293,4086.1290322580644,4093.6451612903224,4062.0
2013-08-22,153.85,4097.258064516129,4092.6129032258063,4101.0,4062.0
2013-09-22,154.92,4085.733333333333,4082.0,4089.0666666666666,4062.0
2013-10-22,155.27,4069.2903225806454,4064.8709677419356,4073.2258064516127,4058.4193548387098
2013-11-22,154.8,4004.9333333333334,3999.133333333333,4010.2,4005.6666666666665
2013-12-22,155.63,4000.0,3995.1612903225805,4004.5806451612902,3995.0
2014-01-22,155.97,4002.2580645161293,3997.0967741935483,4007.0,3995.0
2014-02-22,155.99,3986.3571428571427,3981.8928571428573,3990.3928571428573,3984.1785714285716
2014-03-22,156.82,3993.935483870968,3989.8387096774195,3997.6129032258063,4001.6774193548385
2014-04-22,157.65,4005.766666666667,4000.233333333333,4011.0,4015.0
2014-05-22,158.16,4032.064516129032,4027.7096774193546,4036.064516129032,4024.8387096774195
2014-06-22,159.0,4050.4333333333334,4046.1666666666665,4054.266666666667,4039.4666666666667
2014-07-22,159.71,4055.0,4051.2903225806454,4058.1935483870966,4044.8387096774195
2014-08-22,160.17,4063.9032258064517,4059.516129032258,4067.7096774193546,4058.3225806451615
2014-09-22,160.46,4079.6666666666665,4074.9333333333334,4083.6666666666665,4076.0333333333333
2014-10-22,159.78,4083.548387096774,4079.548387096774,4086.7741935483873,4081.2903225806454
2014-11-22,158.45,4065.1666666666665,4060.266666666667,4069.5,4068.133333333333
2014-12-22,157.29,4062.7419354838707,4058.6774193548385,4066.064516129032,4061.9032258064517
2015-01-22,156.61,4066.1935483870966,4061.9032258064517,4069.8709677419356,4066.3870967741937
2015-02-22,158.44,4050.1428571428573,4045.3214285714284,4054.714285714286,4046.0714285714284
2015-03-22,158.58,4021.2903225806454,4016.7741935483873,4025.1612903225805,4015.9032258064517
2015-04-22,159.65,4033.9333333333334,4028.133333333333,4040.0666666666666,4015.366666666667
2015-05-22,159.77,4078.935483870968,4074.1612903225805,4083.451612903226,4064.0967741935483
2015-06-22,160.11,4091.4666666666667,4086.9333333333334,4095.4,4087.5
2015-07-22,160.98,4101.129032258064,4096.967741935484,4104.806451612903,4098.677419354839
2015-08-22,161.45,4106.225806451613,4101.354838709677,4110.677419354839,4094.4193548387098
2015-09-22,161.96,4097.0,4092.5,4100.833333333333,4082.8333333333335
2015-10-22,161.83,4071.2258064516127,4064.451612903226,4077.1290322580644,4059.4193548387098
2015-11-22,161.5,4044.9333333333334,4039.5,4049.8333333333335,4044.133333333333
2015-12-22,161.77,4052.064516129032,4047.935483870968,4055.516129032258,4049.2580645161293
2016-01-22,161.39,4046.2258064516127,4042.1612903225805,4049.7741935483873,4044.2903225806454
2016-02-22,162.1,4025.7586206896553,4021.2758620689656,4029.689655172414,4022.6206896551726
2016-03-22,161.8,4004.2258064516127,3999.935483870968,4008.1935483870966,4000.7096774193546
2016-04-22,164.13,4031.7,4025.633333333333,4037.6,4016.266666666667
2016-05-22,164.71,4070.8387096774195,4065.483870967742,4075.8064516129034,4065.7096774193546
2016-06-22,165.32,4084.8333333333335,4080.0333333333333,4089.1666666666665,4082.366666666667
2016-07-22,165.88,4090.7096774193546,4085.8709677419356,4095.032258064516,4089.516129032258
2016-08-22,166.18,4099.903225806452,4095.451612903226,4104.129032258064,4097.419354838709
2016-09-22,166.64,4097.966666666666,4093.766666666667,4101.8,4095.733333333333
2016-10-22,167.25,4077.8709677419356,4072.7096774193546,4082.516129032258,4065.6774193548385
2016-11-22,167.32,4034.4,4028.6,4039.6,4026.1666666666665
2016-12-22,168.03,4042.3870967741937,4037.451612903226,4046.7419354838707,4033.3548387096776
2017-01-22,168.52,4045.451612903226,4040.548387096774,4050.0,4036.6451612903224
2017-02-22,168.64,4023.035714285714,4018.4285714285716,4027.285714285714,4015.4285714285716
2017-03-22,168.65,4000.516129032258,3995.967741935484,4004.3548387096776,3996.3548387096776
2017-04-22,169.4,4018.0333333333333,4013.6666666666665,4022.0333333333333,4012.0
2017-05-22,169.07,4051.8064516129034,4047.1290322580644,4055.8387096774195,4048.516129032258
2017-06-22,169.19,4083.5333333333333,4078.7,4087.733333333333,4081.6
2017-07-22,169.74,4093.548387096774,4089.6129032258063,4096.870967741936,4091.1290322580644
2017-08-22,170.5,4093.2580645161293,4087.2903225806454,4098.612903225807,4095.4193548387098
2017-09-22,171.08,4063.5666666666666,4058.1666666666665,4068.366666666667,4052.0666666666666
2017-10-22,170.77,4054.967741935484,4050.0967741935483,4059.5806451612902,4042.0
2017-11-22,171.09,4041.133333333333,4036.266666666667,4045.4333333333334,4032.6
2017-12-22,171.78,4041.2903225806454,4036.064516129032,4045.8709677419356,4036.8709677419356
2018-01-22,171.89,4028.9032258064517,4024.4193548387098,4032.967741935484,4022.935483870968
2018-02-22,172.52,4021.4285714285716,4016.8571428571427,4025.6785714285716,4015.3214285714284
2018-03-22,172.58,4008.451612903226,4003.7741935483873,4012.7096774193546,3997.6774193548385
2018-04-22,173.44,4025.233333333333,4019.266666666667,4030.266666666667,4015.6
2018-05-22,173.91,4065.4193548387098,4059.7096774193546,4071.032258064516,4057.967741935484
2018-06-22,174.16,4072.1,4066.9,4076.8333333333335,4065.8333333333335
2018-07-22,173.69,4062.7741935483873,4057.5806451612902,4067.548387096774,4056.483870967742
2018-08-22,174.89,4075.032258064516,4069.967741935484,4079.8709677419356,4072.032258064516
2018-09-22,175.48,4094.366666666667,4089.366666666667,4098.833333333333,4091.866666666667
2018-10-22,176.02,4079.516129032258,4074.064516129032,4084.7419354838707,4074.7096774193546
2018-11-22,175.41,4048.633333333333,4043.8,4053.3,4042.133333333333
2018-12-22,174.59,4034.5806451612902,4028.7096774193546,4039.8064516129034,4024.935483870968
2019-01-22,174.54,4020.7741935483873,4015.7096774193546,4025.2580645161293,4012.3870967741937
